序号,交易日期,客户ID,交易金额,交易次数,成员类型,省份
14282,2017/3/27,C010210029,131031.5,91,自助成员,青海
14283,2017/3/27,C010210035,1007.95,6,线下成员,甘肃
14284,2017/3/27,C010210040,966.15,2,自助成员,宁夏
14285,2017/3/27,C010210042,294370,210,线下成员,甘肃
14286,2017/3/27,C010220015,278.4,1,自助成员,上海
14287,2017/3/27,C010220022,0,1,自助成员,内蒙
14288,2017/3/27,C010220027,0,1,线下成员,广州
14289,2017/3/27,C010220028,0,1,线上成员,江苏
14290,2017/3/27,C010220029,0,1,自助成员,甘肃
14291,2017/3/27,C010220030,0,1,线上成员,甘肃
14292,2017/3/27,C010220037,0,1,线下成员,广西
14293,2017/3/27,C010220041,0,1,线下成员,广西
14294,2017/3/27,C010220042,0,1,自助成员,甘肃
14295,2017/3/27,C010220050,0,1,线下成员,西藏
14296,2017/3/27,C010220053,0,1,线上成员,青海
14297,2017/3/27,C010230034,35720,20,线上成员,宁夏
14298,2017/3/27,C010230039,133900,100,线上成员,内蒙
14299,2017/3/27,C010230040,195600,120,线下成员,江苏
14300,2017/3/27,C010230041,255600,160,线下成员,西藏
14301,2017/3/27,C010230042,257800,160,线上成员,广州
14302,2017/3/27,C010230043,209420,130,自助成员,上海
14303,2017/3/27,C010230053,131100,100,线下成员,西藏
14304,2017/3/27,C010240003,2362,8,线上成员,内蒙
14305,2017/3/27,C010240011,380,2,线下成员,西藏
14306,2017/3/27,C010240016,200,1,自助成员,青海
14307,2017/3/27,C010240021,19248.2,9,线上成员,上海
14308,2017/3/27,C010240022,13.5,1,线下成员,江苏
14309,2017/3/27,C010250003,1386.8,5,线上成员,甘肃
14310,2017/3/27,C010250012,380,1,线上成员,宁夏
14311,2017/3/27,C010250019,292.8,24,线上成员,广西
14312,2017/3/27,C010280011,50,10,自助成员,广州
14313,2017/3/27,C010280012,50,10,线下成员,广州
14314,2017/3/27,C010280020,697.85,2,线下成员,上海
14315,2017/3/27,C0103110001,5895.94,21,线上成员,宁夏
14316,2017/3/27,C0103710001,3830,15,自助成员,江苏
14317,2017/3/27,C0103740001,190,2,自助成员,内蒙
14318,2017/3/27,C0103750001,2379.98,8,自助成员,西藏
14319,2017/3/27,C0103780001,341,2,线下成员,西藏
14320,2017/3/27,C0105120003,53330,40,自助成员,甘肃
14321,2017/3/27,C0105120005,136850,100,线上成员,江苏
14322,2017/3/27,C0107550001,279.29,3,自助成员,上海
14323,2017/3/27,C013150002,908.82,3,线下成员,宁夏
14324,2017/3/27,C013160001,686.03,6,线上成员,江苏
14325,2017/3/27,C013160006,3293.74,16,自助成员,青海
14326,2017/3/27,C013700004,152910,36,线上成员,上海
14327,2017/3/27,C013700005,18245,38,线上成员,广州
14328,2017/3/27,C013730001,198.34,4,自助成员,甘肃
14329,2017/3/27,C013740003,1312.76,10,自助成员,内蒙
14330,2017/3/27,C013780002,680,1,线下成员,青海
14331,2017/3/27,C013910001,800,2,自助成员,西藏
14332,2017/3/27,C014110002,1363.5,3,线上成员,上海
14333,2017/3/27,C014120001,230,2,线上成员,广州
14334,2017/3/27,C014150003,445,2,线下成员,广州
14335,2017/3/27,C014150004,538,1,自助成员,上海
14336,2017/3/27,C014310003,2042,2,线下成员,西藏
14337,2017/3/27,C014370003,6355,3,自助成员,江苏
14338,2017/3/27,C015100002,702.5,1,线上成员,西藏
14339,2017/3/27,C015100009,177.59,2,自助成员,宁夏
14340,2017/3/27,C015100026,1516,1,线下成员,江苏
14341,2017/3/27,C015110001,123.2,1,线上成员,内蒙
14342,2017/3/27,C015110006,161,1,线上成员,甘肃
14343,2017/3/27,C015120017,69435.1,35,线下成员,广西
14344,2017/3/27,C015150007,415810.8,249,线下成员,内蒙
14345,2017/3/27,C015180006,1631.7,5,线上成员,江苏
14346,2017/3/27,C015190009,0.1,1,线上成员,江苏
14347,2017/3/27,C015190010,0.1,1,自助成员,内蒙
14348,2017/3/27,C015190012,0.1,1,线下成员,上海
14349,2017/3/27,C015310007,864,1,自助成员,甘肃
14350,2017/3/27,C015310014,3527.28,4,线上成员,西藏
14351,2017/3/27,C015320003,208,1,线上成员,广西
14352,2017/3/27,C015320006,3754,3,自助成员,上海
14353,2017/3/27,C015320007,240000,245,线上成员,上海
14354,2017/3/27,C015320008,60454,62,线下成员,青海
14355,2017/3/27,C015320009,97600,100,线上成员,江苏
14356,2017/3/27,C015320020,240178,271,线上成员,青海
14357,2017/3/27,C015320035,140000,142,线下成员,西藏
14358,2017/3/27,C015320036,80,1,线上成员,青海
14359,2017/3/27,C015350009,160797,21,线下成员,青海
14360,2017/3/27,C015350017,1400,3,自助成员,广西
14361,2017/3/27,C015370004,3524.72,16,线上成员,江苏
14362,2017/3/27,C015510001,1681.91,15,线下成员,广西
14363,2017/3/27,C015510003,10989,11,自助成员,西藏
14364,2017/3/27,C015510004,10989,11,线上成员,广州
14365,2017/3/27,C015510010,11988,12,线下成员,青海
14366,2017/3/27,C015510013,138861,139,线下成员,西藏
14367,2017/3/27,C015560003,102000,102,自助成员,内蒙
14368,2017/3/27,C015560004,100899,101,自助成员,江苏
14369,2017/3/27,C015570001,100899,101,自助成员,西藏
14370,2017/3/27,C015580001,241758,242,自助成员,宁夏
14371,2017/3/27,C015710012,12.5,1,线上成员,青海
14372,2017/3/27,C015710015,513,2,线下成员,广州
14373,2017/3/27,C015710017,136454.5,35,线上成员,甘肃
14374,2017/3/27,C015710022,101,4,线下成员,内蒙
14375,2017/3/27,C015710040,420,1,自助成员,内蒙
14376,2017/3/27,C015740001,450,1,线上成员,上海
14377,2017/3/27,C015740027,33.3,4,自助成员,内蒙
14378,2017/3/27,C015760004,199.3,1,线上成员,青海
14379,2017/3/27,C015770003,427,1,线下成员,西藏
14380,2017/3/27,C016320008,4700,10,线上成员,广州
14381,2017/3/27,C017120003,477.7,3,线下成员,西藏
14382,2017/3/27,C017150007,704.13,5,自助成员,广州
14383,2017/3/27,C017160005,1264.26,8,自助成员,内蒙
14384,2017/3/27,C017550005,10,10,线下成员,青海
14385,2017/3/27,C017550019,36.75,1,线下成员,上海
14386,2017/3/27,C017690003,538.8,4,线上成员,甘肃
14387,2017/3/27,C018250001,200,10,线下成员,西藏
14388,2017/3/27,C018310001,1730.85,13,线下成员,广西
14389,2017/3/27,C018320001,31512,13,线下成员,甘肃
14390,2017/3/27,C018380003,59.4,1,自助成员,江苏
14391,2017/3/27,C018730004,5464.8,2,自助成员,甘肃
14392,2017/3/27,C018740002,9331.2,3,线上成员,内蒙
14393,2017/3/27,C018740004,5292,2,自助成员,上海
14394,2017/3/27,C018860002,17366.4,6,线上成员,内蒙
14395,2017/3/27,C050210007,2582,1,自助成员,广州
14396,2017/3/27,C0503590001,1504.1,4,线上成员,内蒙
14397,2017/3/27,C055950001,6350,3,线下成员,广州
14398,2017/3/27,C080210010,5747.5,30,线下成员,青海
14399,2017/3/27,C080210013,6918,27,线下成员,上海
14400,2017/3/27,C080210024,96.47,1,线上成员,青海
14401,2017/3/27,C080220021,124.5,1,线上成员,甘肃
14402,2017/3/27,C080220022,1606.1,18,自助成员,江苏
14403,2017/3/27,C080230007,137567.8,100,自助成员,江苏
14404,2017/3/27,C080240004,380,1,线下成员,内蒙
14405,2017/3/27,C080240008,8943.13,68,线下成员,江苏
14406,2017/3/27,C080240022,46927.9,30,线下成员,广州
14407,2017/3/27,C080240024,4360,4,线下成员,青海
14408,2017/3/27,C080250012,3233.16,19,线上成员,上海
14409,2017/3/27,C080270001,3102.96,24,线上成员,江苏
14410,2017/3/27,C080270007,7934.87,49,线下成员,广州
14411,2017/3/27,C080270021,3370.64,51,线下成员,内蒙
14412,2017/3/27,C080270043,40.1,1,线上成员,西藏
14413,2017/3/27,C083170008,3240.04,26,自助成员,西藏
14414,2017/3/27,C083180001,206.5,1,自助成员,内蒙
14415,2017/3/27,C083180003,1300,1,线上成员,青海
14416,2017/3/27,C083700004,500,1,线上成员,内蒙
14417,2017/3/27,C083910001,746,6,线上成员,广州
14418,2017/3/27,C084510005,10060.28,145,线上成员,青海
14419,2017/3/27,C085100005,23.5,1,自助成员,宁夏
14420,2017/3/27,C085100008,265,1,线上成员,青海
14421,2017/3/27,C085140001,10989,11,自助成员,内蒙
14422,2017/3/27,C085190002,436.85,5,线下成员,内蒙
14423,2017/3/27,C085300004,2755,2,线下成员,甘肃
14424,2017/3/27,C085320008,201.75,1,线上成员,广州
14425,2017/3/27,C085320051,1749.8,10,线上成员,甘肃
14426,2017/3/27,C085330007,887.94,8,线下成员,西藏
14427,2017/3/27,C085330010,16,1,线下成员,江苏
14428,2017/3/27,C085340011,741.3,6,线下成员,青海
14429,2017/3/27,C085350016,2250,3,线上成员,宁夏
14430,2017/3/27,C085390012,46904,45,线下成员,青海
14431,2017/3/27,C085510034,999,1,自助成员,广西
14432,2017/3/27,C085510036,5632.4,91,线下成员,广州
14433,2017/3/27,C085710019,738.8,7,自助成员,甘肃
14434,2017/3/27,C085710028,22,3,线下成员,青海
14435,2017/3/27,C085710029,3988.79,21,线上成员,江苏
14436,2017/3/27,C085730004,545.63,3,自助成员,广西
14437,2017/3/27,C085740011,2117.25,6,线上成员,上海
14438,2017/3/27,C085740012,948.35,7,自助成员,广西
14439,2017/3/27,C085740013,1693.98,18,自助成员,广西
14440,2017/3/27,C086320003,600,1,线下成员,江苏
14441,2017/3/27,C086320008,374,1,自助成员,甘肃
14442,2017/3/27,C087520001,3437.74,38,线下成员,西藏
14443,2017/3/27,C087550020,2771.22,8,线上成员,上海
14444,2017/3/27,C087600004,864.42,5,线上成员,宁夏
14445,2017/3/27,C087690008,1474.64,5,线下成员,广州
14446,2017/3/27,C087720001,7079.31,32,线下成员,广州
14447,2017/3/27,C088710010,67.7,1,自助成员,上海
14448,2017/3/27,C090220029,364.2,1,线下成员,广州
14449,2017/3/27,C090280010,200,10,线下成员,广州
14450,2017/3/27,C090280033,221.22,1,线下成员,江苏
14451,2017/3/27,C093150004,1176.44,7,自助成员,宁夏
14452,2017/3/27,C093160003,267.3,3,自助成员,广西
14453,2017/3/27,C095320001,868,1,线下成员,江苏
14454,2017/3/27,C098310001,49.5,10,自助成员,青海
14455,2017/3/27,C1801-185,12987,13,自助成员,上海
14456,2017/3/27,C4201-265,572.25,2,线下成员,广西
14457,2017/3/27,C4201-39,1298,1,线上成员,西藏
14458,2017/3/28,205,3733.74,40,自助成员,广西
14459,2017/3/28,261,750.05,11,线上成员,广西
14460,2017/3/28,267,505.09,2,线下成员,西藏
14461,2017/3/28,313,2918.01,39,自助成员,上海
14462,2017/3/28,417,157730,110,线下成员,甘肃
14463,2017/3/28,447,587,2,线下成员,西藏
14464,2017/3/28,451,846.29,40,自助成员,西藏
14465,2017/3/28,536,1420.2,14,线上成员,广西
14466,2017/3/28,887,316.65,1,线下成员,甘肃
14467,2017/3/28,1010,1175.17,9,线下成员,广州
14468,2017/3/28,1096,770.42,12,自助成员,上海
14469,2017/3/28,1338,5382.34,49,线下成员,甘肃
14470,2017/3/28,1400,42.8,3,线上成员,江苏
14471,2017/3/28,1914,1753.58,10,线下成员,上海
14472,2017/3/28,2566,2695.27,24,线上成员,上海
14473,2017/3/28,2888,355.5,1,自助成员,广西
14474,2017/3/28,2947,162,1,线下成员,甘肃
14475,2017/3/28,3229,500,1,线下成员,广西
14476,2017/3/28,3294,170.6,1,自助成员,宁夏
14477,2017/3/28,3356,2071.54,21,线下成员,广西
14478,2017/3/28,3454,4.00E+05,80,线上成员,广州
14479,2017/3/28,3870,638.4,3,自助成员,甘肃
14480,2017/3/28,4438,4344.16,6,线上成员,内蒙
14481,2017/3/28,4608,120.75,2,线下成员,青海
14482,2017/3/28,4652,531.76,9,线下成员,宁夏
14483,2017/3/28,4764,2576.44,18,线下成员,宁夏
14484,2017/3/28,4871,1388.57,13,自助成员,江苏
14485,2017/3/28,5099,863.2,10,线上成员,广西
14486,2017/3/28,5125,10,1,线下成员,西藏
14487,2017/3/28,5207,3458.76,22,线下成员,西藏
14488,2017/3/28,5211,2315.21,15,线上成员,内蒙
14489,2017/3/28,5228,4520.19,26,线上成员,甘肃
14490,2017/3/28,5278,3282.04,10,线下成员,广州
14491,2017/3/28,5412,402.25,5,线上成员,宁夏
14492,2017/3/28,5504,315725,109,线下成员,内蒙
14493,2017/3/28,5546,150000,96,自助成员,宁夏
14494,2017/3/28,5623,143512,100,自助成员,广州
14495,2017/3/28,5724,633.3,5,线下成员,江苏
14496,2017/3/28,5813,3095.12,18,自助成员,内蒙
14497,2017/3/28,5864,120749,121,线上成员,宁夏
14498,2017/3/28,5878,108,1,自助成员,广西
14499,2017/3/28,5935,2598.33,20,线下成员,广州
14500,2017/3/28,6142,2568.43,20,自助成员,宁夏
14501,2017/3/28,6199,300010,188,线下成员,广州
14502,2017/3/28,6247,100,10,线上成员,上海
14503,2017/3/28,6439,3211.9,16,线上成员,宁夏
14504,2017/3/28,6517,808,1,线上成员,宁夏
14505,2017/3/28,6712,2830.93,24,线上成员,甘肃
14506,2017/3/28,6931,2516.8,10,线上成员,广西
14507,2017/3/28,7157,126378,100,自助成员,青海
14508,2017/3/28,7603,6786.33,43,线下成员,江苏
14509,2017/3/28,8239,185.4,10,线下成员,甘肃
14510,2017/3/28,9476,1428,8,线下成员,江苏
14511,2017/3/28,9757,972.26,5,线下成员,西藏
14512,2017/3/28,10476,46.63,1,自助成员,广州
14513,2017/3/28,10599,3932.95,22,线上成员,内蒙
14514,2017/3/28,10954,5625.9,21,线上成员,广州
14515,2017/3/28,11185,7,7,自助成员,宁夏
14516,2017/3/28,11558,480700,209,线上成员,内蒙
14517,2017/3/28,11789,39,2,自助成员,青海
14518,2017/3/28,12216,7033.68,49,线上成员,西藏
14519,2017/3/28,13041,1443.6,12,自助成员,上海
14520,2017/3/28,13241,2724.86,20,线下成员,江苏
14521,2017/3/28,13243,3085.14,27,线下成员,江苏
14522,2017/3/28,13428,426860,140,自助成员,广州
14523,2017/3/28,14042,992.25,10,自助成员,江苏
14524,2017/3/28,14713,2348.7,20,线下成员,内蒙
14525,2017/3/28,14752,252,1,自助成员,广西
14526,2017/3/28,1001-1463,4627.93,65,线下成员,内蒙
14527,2017/3/28,1001-1505,971.87,16,线下成员,内蒙
14528,2017/3/28,100101-42,146060,100,线下成员,西藏
14529,2017/3/28,1002-741,899.55,6,自助成员,甘肃
14530,2017/3/28,100737,399990,250,自助成员,内蒙
14531,2017/3/28,100762,4443.61,21,自助成员,甘肃
14532,2017/3/28,100910,128.94,1,线上成员,广州
14533,2017/3/28,1010-707,546.76,4,线下成员,宁夏
14534,2017/3/28,1010-712,1450.5,3,线上成员,宁夏
14535,2017/3/28,1011-121,5896.67,59,线上成员,广西
14536,2017/3/28,1011-136,4873.9,49,自助成员,甘肃
14537,2017/3/28,1301-1636,13302.75,12,线下成员,上海
14538,2017/3/28,1301-1643,47.15,1,线上成员,青海
14539,2017/3/28,1301-272,22.05,1,自助成员,甘肃
14540,2017/3/28,1301-842,1413.49,13,线下成员,上海
14541,2017/3/28,1301-861,3161.57,14,线下成员,甘肃
14542,2017/3/28,1301-862,4334.29,20,线下成员,江苏
14543,2017/3/28,1301-864,2007.38,30,线上成员,宁夏
14544,2017/3/28,1301-869,1135.1,15,线下成员,江苏
14545,2017/3/28,1301-872,234,2,线上成员,甘肃
14546,2017/3/28,1301-878,1835.04,7,线上成员,西藏
14547,2017/3/28,1301-894,3484.89,23,线下成员,广州
14548,2017/3/28,1301-899,72.5,3,线上成员,广西
14549,2017/3/28,130108-846,144.5,1,线下成员,宁夏
14550,2017/3/28,1303-837,1200,2,线下成员,广西
14551,2017/3/28,1303-849,328.74,4,自助成员,江苏
14552,2017/3/28,130304-847,1395.9,4,线上成员,内蒙
14553,2017/3/28,1306-839,2308.78,11,线下成员,上海
14554,2017/3/28,1306-841,3088.67,20,自助成员,青海
14555,2017/3/28,1310-1638,683,2,线上成员,宁夏
14556,2017/3/28,1310-296,525.3,3,线下成员,广西
14557,2017/3/28,1401-112,2283.8,6,自助成员,广西
14558,2017/3/28,1401-1303,1250,3,线下成员,江苏
14559,2017/3/28,1401-1307,130,3,线下成员,江苏
14560,2017/3/28,1401-8,38,1,线上成员,上海
14561,2017/3/28,140504-1258,580,1,自助成员,宁夏
14562,2017/3/28,140504-1645,1118,9,线下成员,内蒙
14563,2017/3/28,1501-1337,4681.02,35,自助成员,江苏
14564,2017/3/28,1601-1800,1721.42,6,线下成员,青海
14565,2017/3/28,1601-1811,1524.39,7,自助成员,宁夏
14566,2017/3/28,1601-49,1665,2,线下成员,西藏
14567,2017/3/28,1601-925,23,1,线下成员,西藏
14568,2017/3/28,1601-9631,2842.11,10,自助成员,青海
14569,2017/3/28,1602-12,3515.45,4,线上成员,上海
14570,2017/3/28,1602-1653,121,1,线上成员,上海
14571,2017/3/28,1602-1682,5613.85,38,线下成员,宁夏
14572,2017/3/28,1602-1683,667.6,4,自助成员,内蒙
14573,2017/3/28,1602-1685,2686.97,24,线下成员,内蒙
14574,2017/3/28,1602-1696,66412.69,33,线上成员,内蒙
14575,2017/3/28,1602-1698,72.1,1,自助成员,青海
14576,2017/3/28,1602-268,961.15,5,线上成员,广州
14577,2017/3/28,160203-145,1660.35,25,线上成员,江苏
14578,2017/3/28,1603-20,1824.02,24,线上成员,宁夏
14579,2017/3/28,1604-70,6347,44,线上成员,上海
14580,2017/3/28,160507-432,166890,120,自助成员,江苏
14581,2017/3/28,160507-686,169270,121,线下成员,上海
14582,2017/3/28,1608-1742,69.56,2,自助成员,上海
14583,2017/3/28,1609-26,4488.35,66,线上成员,西藏
14584,2017/3/28,1611-992,221.8,2,线下成员,广州
14585,2017/3/28,1612-168,7258.39,44,自助成员,上海
14586,2017/3/28,1613-1375,422.05,1,线下成员,广西
14587,2017/3/28,1613-28,3873.93,6,线上成员,广西
14588,2017/3/28,1701-11,13687.98,41,自助成员,青海
14589,2017/3/28,1701-195,7566.52,44,线下成员,青海
14590,2017/3/28,1701-196,3919.7,30,线上成员,甘肃
14591,2017/3/28,1701-2165,1384.32,6,线下成员,广西
14592,2017/3/28,1701-2179,886,3,自助成员,广州
14593,2017/3/28,1701-2202,19.95,1,线下成员,广西
14594,2017/3/28,1701-2258,891,1,自助成员,广西
14595,2017/3/28,1702-14,96.5,1,自助成员,宁夏
14596,2017/3/28,1702-217,380.88,4,线上成员,江苏
14597,2017/3/28,1702-2245,225,1,线下成员,宁夏
14598,2017/3/28,1702-2247,12.75,1,线上成员,广西
14599,2017/3/28,1702-2250,675,1,线上成员,宁夏
14600,2017/3/28,1702-2262,946.5,3,线下成员,甘肃
14601,2017/3/28,1702-2269,1270.1,2,线上成员,内蒙
14602,2017/3/28,1702-2289,14382,31,自助成员,青海
14603,2017/3/28,1702-2313,990,1,线下成员,上海
14604,2017/3/28,1702-2353,522.11,2,线上成员,甘肃
14605,2017/3/28,1702-398,845.03,5,线上成员,青海
14606,2017/3/28,170205-213,348.75,5,线上成员,内蒙
14607,2017/3/28,170207-215,3672.81,20,线上成员,宁夏
14608,2017/3/28,1704-2178,71.5,2,线上成员,广西
14609,2017/3/28,1704-2224,663.05,6,线下成员,青海
14610,2017/3/28,1704-2231,2552,11,线下成员,宁夏
14611,2017/3/28,170403-2225,80000,50,线下成员,上海
14612,2017/3/28,1710-34,407.6,6,线上成员,青海
14613,2017/3/28,1801-1596,210,1,线下成员,甘肃
14614,2017/3/28,1801-2070,1102.8,2,线下成员,内蒙
14615,2017/3/28,1801-2077,1655.93,3,自助成员,西藏
14616,2017/3/28,1801-2093,357642,358,自助成员,江苏
14617,2017/3/28,1801-2099,100899,101,线上成员,西藏
14618,2017/3/28,1801-2115,555964,556,自助成员,江苏
14619,2017/3/28,1801-2117,1176.82,4,线上成员,青海
14620,2017/3/28,1801-43,240,1,线上成员,宁夏
14621,2017/3/28,1807-2122,50949,51,线上成员,甘肃
14622,2017/3/28,1810-3278,1156.2,10,自助成员,广西
14623,2017/3/28,1810-3279,199800,200,线下成员,广州
14624,2017/3/28,1902-137,4345.74,25,线上成员,西藏
14625,2017/3/28,1902-221,1950,3,自助成员,西藏
14626,2017/3/28,1902-2400,3710.02,40,线上成员,内蒙
14627,2017/3/28,1903-2433,4961,2,线下成员,青海
14628,2017/3/28,1905-2434,1950,1,线下成员,上海
14629,2017/3/28,1905-2444,3386,5,线上成员,广西
14630,2017/3/28,1905-2451,95.5,1,线上成员,广西
14631,2017/3/28,1905-2462,1615,4,自助成员,上海
14632,2017/3/28,1905-2467,3707,10,自助成员,宁夏
14633,2017/3/28,2101-163,480.3,13,线下成员,广西
14634,2017/3/28,2101-1858,4061.42,39,线上成员,西藏
14635,2017/3/28,2101-1878,1883.86,21,线下成员,广州
14636,2017/3/28,2101-48,4286.1,4,自助成员,上海
14637,2017/3/28,2102-167,9465.21,68,线下成员,宁夏
14638,2017/3/28,2102-3295,270.18,1,线下成员,江苏
14639,2017/3/28,2102-3300,728,2,线上成员,上海
14640,2017/3/28,2102-3318,2330,3,线下成员,甘肃
14641,2017/3/28,2102-3319,1908.2,15,线下成员,宁夏
14642,2017/3/28,2102-3351,1081.5,1,线上成员,青海
14643,2017/3/28,2103-1910,1412.8,7,线下成员,青海
14644,2017/3/28,2103-1920,190,1,线上成员,西藏
14645,2017/3/28,2103-1943,5396.7,41,线上成员,上海
14646,2017/3/28,2103-3284,3511.62,16,线上成员,内蒙
14647,2017/3/28,74266,4410,5,线下成员,广西
14648,2017/3/28,75515,9951.55,8,线上成员,西藏
14649,2017/3/28,2106-1962,125,9,线上成员,青海
14650,2017/3/28,2106-1979,43750,10,自助成员,西藏
14651,2017/3/28,2106-1988,46200,10,自助成员,甘肃
14652,2017/3/28,2106-3158,400,1,自助成员,江苏
14653,2017/3/28,2106-3195,1130.3,8,自助成员,宁夏
14654,2017/3/28,2107-3308,140000,142,自助成员,内蒙
14655,2017/3/28,210711-23,3594.75,12,自助成员,青海
14656,2017/3/28,2111-224,2452.8,7,线上成员,江苏
14657,2017/3/28,2113-1997,3642.3,13,线下成员,内蒙
14658,2017/3/28,2113-2031,4624.24,28,线上成员,宁夏
14659,2017/3/28,2114-171,1801,14,线下成员,广西
14660,2017/3/28,211403-2522,330,1,线上成员,西藏
14661,2017/3/28,2116-3274,916.59,5,线上成员,内蒙
14662,2017/3/28,2201-101,158.7,1,自助成员,内蒙
14663,2017/3/28,2201-123,6198.65,21,线下成员,宁夏
14664,2017/3/28,2201-15,260,1,线下成员,广西
14665,2017/3/28,2201-1548,515,5,自助成员,内蒙
14666,2017/3/28,2201-158,761.51,9,线下成员,内蒙
14667,2017/3/28,2201-1595,2183.2,25,线下成员,内蒙
14668,2017/3/28,2201-1614,5413.58,39,自助成员,广西
14669,2017/3/28,2201-1618,1971.52,14,线上成员,内蒙
14670,2017/3/28,2201-961,4352.48,47,自助成员,甘肃
14671,2017/3/28,220105-107,869.9,3,线下成员,广西
14672,2017/3/28,220108-100,115,4,线上成员,江苏
14673,2017/3/28,2204-1624,2360,2,线下成员,甘肃
14674,2017/3/28,220604-1544,423.5,2,线下成员,青海
14675,2017/3/28,2207-1603,7182.56,14,线下成员,江苏
14676,2017/3/28,220807-263,321.35,4,线上成员,宁夏
14677,2017/3/28,220808-1588,977.36,7,线下成员,广西
14678,2017/3/28,220903-1549,126.75,2,线上成员,江苏
14679,2017/3/28,2210-1623,2600,2,自助成员,青海
14680,2017/3/28,2211-1632,2292,4,自助成员,上海
14681,2017/3/28,2211-1633,591.56,7,线下成员,广西
14682,2017/3/28,2214-1525,2385,4,线上成员,青海
14683,2017/3/28,2216-104,7044.88,30,线下成员,甘肃
14684,2017/3/28,2217-1587,420,1,自助成员,上海
14685,2017/3/28,2301-1025,34,1,线下成员,广西
14686,2017/3/28,2301-1040,27.52,1,线上成员,西藏
14687,2017/3/28,2301-1042,160000,60,自助成员,西藏
14688,2017/3/28,2301-1046,160000,60,线上成员,甘肃
14689,2017/3/28,2301-1049,6710.33,62,线上成员,西藏
14690,2017/3/28,2301-1054,4469.95,16,自助成员,宁夏
14691,2017/3/28,2301-13,1541.6,4,自助成员,上海
14692,2017/3/28,2301-2431,2465.61,14,线上成员,甘肃
14693,2017/3/28,2301-2562,154.5,1,线下成员,甘肃
14694,2017/3/28,2301-2574,1703.45,2,线上成员,广西
14695,2017/3/28,2301-2575,50,2,自助成员,宁夏
14696,2017/3/28,2301-2615,576.38,6,自助成员,青海
14697,2017/3/28,2301-2617,6536.55,12,线下成员,广州
14698,2017/3/28,2301-840,4.00E+05,60,线下成员,宁夏
14699,2017/3/28,2301-854,650.76,3,线上成员,江苏
14700,2017/3/28,2301-94,2405.5,8,线上成员,广西
14701,2017/3/28,230508-2543,72.45,2,自助成员,甘肃
14702,2017/3/28,2307-2619,545.43,2,自助成员,内蒙
14703,2017/3/28,2401-46,38.81,1,线上成员,青海
14704,2017/3/28,240902-2742,103.86,1,线下成员,广州
14705,2017/3/28,2412-2759,409717,626,线下成员,甘肃
14706,2017/3/28,2501-25,59.71,1,自助成员,西藏
14707,2017/3/28,2501-2808,1184.72,5,自助成员,内蒙
14708,2017/3/28,2501-2893,1410,1,线上成员,江苏
14709,2017/3/28,2501-33,860,3,自助成员,西藏
14710,2017/3/28,2501-40,7605,16,自助成员,江苏
14711,2017/3/28,2501-470,475.6,3,线下成员,青海
14712,2017/3/28,219633,4359035.12,2143,线下成员,内蒙
14713,2017/3/28,219694,218,1,自助成员,青海
14714,2017/3/28,250103-496,403.8,3,线上成员,青海
14715,2017/3/28,250112-38,1325.85,4,线上成员,宁夏
14716,2017/3/28,2503-229,3010.08,13,线下成员,内蒙
14717,2017/3/28,2503-2791,10,10,线上成员,西藏
14718,2017/3/28,2503-2804,1848.83,5,线上成员,内蒙
14719,2017/3/28,2503-2845,8,8,自助成员,广西
14720,2017/3/28,2503-2890,10,10,线下成员,宁夏
14721,2017/3/28,2503-41,3050.98,16,线上成员,青海
14722,2017/3/28,250403-24,2433.4,5,线上成员,宁夏
14723,2017/3/28,250602-2937,2723.55,41,线下成员,广州
14724,2017/3/28,2507-2765,840,4,线上成员,宁夏
14725,2017/3/28,2601-3245,0,1,线下成员,江苏
14726,2017/3/28,2601-3257,0,1,线上成员,江苏
14727,2017/3/28,2601-3258,0,1,自助成员,江苏
14728,2017/3/28,329086,772.19,6,自助成员,江苏
14729,2017/3/28,2801-104,1403.98,20,线下成员,江苏
14730,2017/3/28,2801-1121,333.12,2,线上成员,甘肃
14731,2017/3/28,2801-1147,1653.46,12,线上成员,广西
14732,2017/3/28,2801-1150,40,2,自助成员,宁夏
14733,2017/3/28,2801-1175,331.62,5,自助成员,西藏
14734,2017/3/28,2801-1180,436.84,4,线下成员,广州
14735,2017/3/28,2801-1182,12882.8,103,线上成员,上海
14736,2017/3/28,2801-1194,2830.35,1,线下成员,西藏
14737,2017/3/28,2801-1195,959100,417,线上成员,内蒙
14738,2017/3/28,2801-1201,4617,2,线下成员,广西
14739,2017/3/28,2801-2749,3797.71,30,自助成员,上海
14740,2017/3/28,2801-2986,288.25,2,线下成员,广西
14741,2017/3/28,2801-2988,59,1,线上成员,西藏
14742,2017/3/28,2801-3001,3243,2,线上成员,西藏
14743,2017/3/28,2801-3088,5500,1,线上成员,广州
14744,2017/3/28,2801-3092,739.3,3,线下成员,内蒙
14745,2017/3/28,2801-39,1846.7,2,线下成员,上海
14746,2017/3/28,2801-40,31904.73,32,线上成员,江苏
14747,2017/3/28,2801-41,667.13,4,自助成员,西藏
14748,2017/3/28,2801-56,1840.47,8,线下成员,上海
14749,2017/3/28,2801-57,5924.58,49,线下成员,上海
14750,2017/3/28,281803-1128,785.7,9,线上成员,江苏
14751,2017/3/28,3001-3093,10,1,自助成员,内蒙
14752,2017/3/28,3001-3095,10,1,线下成员,广西
